,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
5897,5897,988069667,1,2,47,**,4,1,11,0,T,46,1,L,3000,0,100,99,0,0
1481,1481,255868739,1,1,18,**,4,1,#,0,T,48,1,a,2460,0,20,99,0,1
2281,2281,972244344,1,1,16,**,2,1,#,0,T,44,1,L,7349,0,20,99,0,1
316,316,952781626,1,2,20,4,2,99,12,0,H,46,1,L,5069,0,110,99,0,1
6156,6156,258915029,1,1,34,35,4,1,11,0,N,34,1,a,969,0,30,99,0,0
1226,1226,244186086,1,2,27,27,4,1,#,500,K,25,1,L,18220,0,90,99,0,0
672,672,954751444,1,2,26,18,2,1,11,0,R,21,1,L,480,0,70,99,0,0
6840,6840,947688660,1,2,27,27,2,21,#,0,K,18,1,a,130,0,40,99,0,1
915,915,246775160,1,1,24,12,2,1,#,0,T,23,1,R,1000,0,20,6,2,0
7492,7492,251466398,1,2,38,4,2,1,11,0,H,38,1,a,240,0,0,5,4,0
1251,1251,945805058,1,1,22,21,2,1,#,0,C,43,1,L,3000,0,60,99,0,1
3519,3519,989367863,1,1,28,13,2,1,11,0,T,25,1,a,3360,1,0,4,6,0
3485,3485,242541359,1,1,33,**,2,1,11,0,T,33,1,L,540,0,50,99,0,1
2528,2528,248288312,1,2,54,11,3,99,#,500,T,54,#,#,702,1,20,99,0,1
1678,1678,971219205,1,2,51,12,4,1,#,0,T,47,1,L,324,0,100,99,0,0
4779,4779,977464374,1,2,49,13,4,1,12,500,T,47,1,L,960,0,110,99,0,0
1609,1609,250950182,1,1,62,**,2,1,12,500,Q,62,1,L,1,1,30,99,0,0
143,143,985611289,1,2,50,**,2,1,#,500,K,49,1,L,648,1,100,5,7,0
5063,5063,966489257,1,2,35,14,4,10,12,0,T,31,1,L,771,0,110,99,0,0
4601,4601,949447059,1,2,27,33,4,1,#,0,N,21,1,L,7,0,100,99,0,1
7009,7009,242122966,1,1,13,27,4,1,#,0,T,41,1,L,324,0,20,99,0,1
5845,5845,971138037,1,1,32,14,2,21,11,0,T,28,1,a,604,0,100,10,3,0
173,173,603560701,1,2,37,27,2,8,#,0,K,19,1,L,2012,0,50,99,0,1
2774,2774,946366833,1,1,38,**,2,1,11,0,H,30,1,L,1058,0,80,99,0,0
6714,6714,246226039,1,1,20,2,2,1,#,0,H,20,1,L,580,1,3,9,4,0
4646,4646,967567334,1,1,8,13,4,1,#,0,T,38,1,a,700,0,2,99,0,1
5114,5114,960132638,1,2,35,**,3,1,11,0,T,30,1,a,194,0,100,99,0,0
6734,6734,509415662,1,1,34,33,2,1,11,0,N,24,1,a,4020,0,100,99,0,0
