,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
182,956437089,1,1,37,28,4,1,#,0,K,32,1,L,2604,0,100,99,0,0
183,994296456,1,2,55,**,4,99,#,500,T,54,1,R,,,,,,
184,607113231,1,1,48,27,2,1,12,0,T,39,1,L,,,,,,
185,985351293,1,2,14,**,2,1,12,0,D,38,1,L,,,,,,
186,997572654,1,2,17,7,4,1,#,0,H,40,1,a,,,,,,
187,247607689,1,2,32,**,2,1,11,500,T,30,1,L,5600,0,,,,
188,968827923,1,2,32,22,2,1,12,0,C,29,1,L,,,,,,
189,992664609,1,1,26,13,1,99,#,99,T,25,1,#,,,,,,
190,509132810,1,1,25,24,2,17,11,0,C,17,1,L,648,1,100,3,8,0
191,264804925,2,#,0,13,90,99,#,900,T,999,#,9,,,,,,
192,962500133,1,2,20,27,4,17,#,0,C,17,1,M,,,,,,
193,959359922,1,1,46,9,4,99,#,0,T,41,1,M,,,,,,
194,253337111,1,1,52,**,4,1,#,500,Q,52,#,9,,,,,,
195,257000469,1,2,21,26,4,1,#,0,K,21,1,a,,,30,99,0,0
196,981017327,1,2,70,38,2,1,12,0,T,67,1,a,1,0,40,99,0,0
197,982525829,1,2,34,**,4,1,#,0,T,33,1,L,,,,,,
198,940928178,1,1,26,19,4,1,#,0,T,20,0,#,,,,,,
199,962413273,1,1,48,40,4,1,11,0,Q,41,1,a,,,,,,
200,980785275,2,#,0,**,1,98,11,0,T,999,51,#,,,,,,
201,266355973,1,1,35,**,4,1,#,500,K,34,#,9,,,,,,
202,614641587,1,1,71,29,2,1,#,0,K,58,1,a,1,0,50,99,0,0
203,508791951,1,2,79,21,4,20,#,0,C,70,1,L,,,,,,
204,988066665,1,1,24,1,4,1,11,0,D,23,1,L,,,,,,
205,968975549,1,2,73,1,2,12,#,0,D,69,61,P,,,,,,
