,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
626,626,703058841,1,1,83,17,2,1,#,0,R,65,1,L,324,0,100,99,0,0
632,632,259536989,1,2,70,**,4,1,12,500,K,70,0,9,1,0,30,99,0,0
637,637,946671527,1,1,30,27,4,10,12,0,K,21,1,L,36830,0,30,99,0,1
639,639,606641794,1,2,24,29,2,99,#,0,K,40,1,L,4200,0,100,99,0,0
644,644,252026926,1,2,17,40,2,28,11,0,Q,17,1,a,7130,0,10,3,1,0
645,645,508293393,1,1,24,**,3,1,#,0,C,14,1,L,1000,0,50,99,0,0
648,648,991370894,1,2,59,**,4,1,11,0,T,58,1,L,756,0,50,99,0,1
652,652,245808266,1,1,24,**,4,1,#,500,H,24,1,L,480,0,100,99,0,0
654,654,508759078,1,2,21,22,2,1,#,0,C,12,1,L,648,0,100,99,0,0
657,657,948162130,1,1,25,34,2,17,12,0,N,16,1,L,1188,0,100,99,0,0
659,659,953780692,1,2,26,**,4,17,#,0,T,18,1,L,1007,0,90,99,0,1
664,664,974044357,1,2,32,27,2,8,#,0,K,28,1,L,860,1,3,5,8,0
666,666,314395477,1,1,40,14,4,1,#,0,T,22,1,L,5800,0,100,99,0,0
671,671,804003529,1,1,65,40,4,10,#,0,N,24,1,L,90000,0,100,99,0,1
680,680,251387957,1,2,39,21,2,1,12,0,C,39,1,L,444,0,50,99,0,1
689,689,240427659,1,2,27,11,2,1,11,0,T,24,1,L,324,1,0,6,7,0
690,690,204007609,1,2,57,3,2,1,#,0,H,44,1,L,250,0,60,99,0,0
694,694,324594907,1,2,52,13,2,8,#,0,T,38,1,L,108,0,50,99,0,1
695,695,945740978,1,2,24,27,2,17,#,0,K,17,1,L,648,0,100,7,2,0
702,702,982789199,1,1,23,**,2,1,12,0,Q,22,1,L,594,0,60,99,0,1
708,708,941345360,1,1,32,11,4,1,#,0,Q,23,1,L,1007,1,3,99,0,1
709,709,990332502,1,2,41,13,3,1,12,0,T,37,1,a,1080,0,0,3,6,0
717,717,973416396,2,#,0,25,2,1,12,0,T,999,1,a,130,0,10,4,3,0
723,723,984831081,1,1,57,15,3,1,12,0,T,55,1,L,5000,0,100,99,0,1
724,724,326501654,1,1,47,10,2,1,11,0,T,37,1,L,537,0,70,99,0,1
726,726,951230898,1,1,36,4,4,1,12,0,H,31,1,L,328,0,100,99,0,0
735,735,944564552,1,2,27,14,2,1,#,0,T,21,1,L,36040,0,40,7,1,0
740,740,981655140,1,2,20,17,4,1,#,0,R,15,1,a,324,0,100,99,0,0
749,749,907484591,1,1,37,43,2,1,#,0,Q,27,1,a,960,0,60,99,0,0
756,756,247817303,1,1,27,14,4,1,12,0,T,27,1,a,4270,0,80,99,0,0
757,757,257009389,1,1,28,7,3,1,12,0,H,28,#,9,250,1,0,3,1,0
759,759,990867612,1,2,72,25,2,1,11,0,K,71,1,L,324,0,10,5,5,1
772,772,988714572,1,1,67,23,2,1,12,0,C,66,1,L,324,0,50,99,0,0
776,776,967116909,1,1,40,29,4,1,12,0,K,34,1,L,2400,0,110,99,0,1
777,777,960731339,1,2,38,27,2,1,11,0,K,34,1,L,1000,0,100,3,1,1
778,778,605827899,1,1,30,26,4,1,#,0,K,16,1,L,9430,0,120,99,0,0
793,793,945465135,1,2,18,23,2,1,#,0,C,40,1,L,1080,0,20,99,0,1
802,802,242065422,1,2,10,11,2,1,#,500,T,66,1,L,540,0,0,3,4,1
803,803,200826125,1,2,35,4,2,8,#,0,H,14,1,L,1200,0,50,99,0,2
809,809,240345104,1,1,63,**,2,1,11,500,T,62,1,L,120,1,5,3,7,0
816,816,991244062,1,1,55,**,4,1,12,0,T,54,1,L,120,0,80,99,0,0
820,820,252714451,1,1,23,4,1,1,12,0,H,23,1,a,600,0,3,99,0,1
826,826,949772000,1,2,34,22,2,1,11,0,T,26,1,L,149,0,50,99,0,1
828,828,241809562,1,1,31,35,3,1,11,0,N,31,1,L,620,0,50,99,0,1
832,832,253500322,1,2,41,23,4,1,#,0,C,41,1,a,1360,0,30,99,0,1
834,834,961738254,1,1,19,**,4,1,11,0,C,41,1,L,480,0,100,99,0,1
849,849,960533297,1,1,28,28,4,1,#,0,K,24,1,L,8492,0,90,99,0,1
857,857,944550954,1,1,43,8,2,1,#,0,T,36,1,L,540,0,100,99,0,0
863,863,103326374,1,1,32,1,4,1,#,0,D,15,1,L,540,0,100,99,0,0
869,869,246025583,1,2,40,**,3,1,11,500,T,39,#,#,2800,0,50,99,0,0
870,870,991359356,1,2,49,24,4,1,11,0,C,47,1,L,324,0,90,99,0,0
876,876,258887930,1,1,28,27,2,28,11,500,K,28,#,9,1007,0,20,99,0,0
880,880,507190268,1,1,41,23,2,1,#,0,C,27,1,L,2000,0,30,6,3,0
883,883,942590526,1,2,37,13,4,1,#,0,T,30,1,L,1007,0,90,99,0,1
887,887,249001072,1,1,31,11,4,1,12,0,T,31,1,L,1080,0,60,99,0,1
894,894,253372670,1,2,45,**,4,1,11,0,T,45,1,a,240,0,80,99,0,1
896,896,245011137,1,1,21,**,4,1,12,500,K,20,#,9,260,0,90,99,0,0
898,898,957489207,1,2,50,12,2,12,#,0,T,44,1,L,2280,1,3,10,3,0
904,904,243215562,1,2,46,**,3,1,#,500,K,45,1,L,1198,0,100,99,0,0
905,905,952243814,1,1,31,**,4,1,11,0,T,25,1,L,1560,0,100,99,0,0
908,908,305049027,1,2,44,14,2,1,#,0,T,32,1,L,12364,0,100,99,0,0
